Regime,Model,Absolute Error (kW)
Clear Sky,CNN,0.2779185017150433
Clear Sky,CNN,1.555382544199424
Clear Sky,CNN,2.762226166679829
Clear Sky,CNN,3.32657773082558
Clear Sky,CNN,3.9975978184139374
Clear Sky,CNN,4.020951037331917
Clear Sky,CNN,4.746206245235845
Clear Sky,CNN,4.430853884748811
Clear Sky,CNN,4.471948223104978
Clear Sky,CNN,4.53178521118622
Clear Sky,CNN,4.444642846419372
Clear Sky,CNN,3.746447133828937
Clear Sky,CNN,3.4982832921588773
Clear Sky,CNN,2.546686236330723
Clear Sky,CNN,2.3917561227527724
Clear Sky,CNN,0.7238708521196635
Clear Sky,CNN,1.6189169104679095
