P_st_pu,I_F_PV
0.4570120550636459,0.005788406066629504
0.46397317049182085,0.006345860938501065
0.46752207955126346,0.007239191450590875
0.4676403855528291,0.007839866717174175
0.4643274658270139,0.009588144048869155
0.4576004671217542,0.0074099805531512705
0.4474944379328368,0.0064830496987460864
0.434062625535222,0.005576829680264887
0.4173769966556457,0.00733307199658895
0.397529098998329,0.006802881274599423
0.37463144916746294,0.0028070520043463184
0.3488197648299402,0.0046605363093891366
0.3202566044068956,0.011173733196396078
0.28913739235875735,0.016185732748425597
0.2557006525291341,0.026155784085028926
0.2202459994558107,0.03815755213453239
0.18316709792617222,0.04537529543004446
0.14501520177845392,0.06390836274182526
0.10662904014770222,0.10182112080828445
0.06927502580737739,0.18664308155281673
0.03587628196508585,0.3969691188282612
0.011149779072879727,0.8802305606639371
0.03374554373784175,0.05150593006166349
0.06678084674030167,0.03150598290016034
0.10387613382451392,0.02508099704814165
0.14229762825904324,0.02027918957478672
0.18057308748334247,0.017787107267645694
0.2178318013987503,0.01644577389208194
0.2535053826282358,0.015646348379519972
0.28719013400551163,0.015012471885841407
0.318580014869181,0.01473484508677676
0.3474320056890061,0.014899715495654789
0.37354727375152913,0.015302456634919723
0.39676048683699283,0.01569200211515234
0.41693353232089575,0.016041667754650137
0.4339517347714273,0.016620265256809545
0.4477215359260731,0.015658363009396284
0.4581690513875827,0.007658576473324357
0.46523917759742395,0.003624652790304039
0.4688950483645465,0.0004734469997149858
0.46911772168292626,0.0017470247857715403
0.46590603563267813,0.00683411654469838
0.4592765998679799,0.00602880447193264
0.4492639224440662,0.007159586661832103
0.4359206986497517,0.008618468580924203
0.41931831907319056,0.014854912183028677
0.39954771125247623,0.017955061770600255
0.3767206957748902,0.0184460941357311
0.3509721663097331,0.016508057931929637
0.32246364154357954,0.017107081885958626
0.29138913798015986,0.020740491454782732
0.25798512781984373,0.022357739414697497
0.22254800960553037,0.026440725815821242
0.1854660310451208,0.043673261265385836
0.14728064000554758,0.06256282430521534
0.10881147279914544,0.08955938407238945
0.07128257526794134,0.1378432128537282
0.03753693293308365,0.2884299728209374
0.01214914331168148,0.5997824274764093
0.03363293306207817,0.21269165646119803
0.06668604887007293,0.12545879772298904
0.10383101834127112,0.0964516046121031
0.14232114601279663,0.07700457183464568
0.180677499000407,0.0492112630218346
0.2180256917759092,0.035865939200172
0.2537950976799511,0.02620059646130414
0.28758050287011877,0.024304036607609682
0.3190747365769689,0.017665397886429304
0.3480338677110517,0.01842529461403192
0.3742582817753779,0.020583248246906497
0.3975819453496663,0.021316350518253674
0.4178660968213464,0.017884477438302702
0.4349954471264942,0.017233538632667824
0.448875849449445,0.015573073883623306
0.4594328494251873,0.009705042682887329
0.46661078782099763,0.005817482451168512
0.47037225395228593,0.0031456674933093417
0.47069776976493205,0.0012989209122682263
0.4675856428127584,0.0029445301032949
0.4610519539765799,0.004393381248207557
0.4511306788522085,0.006793086481149833
0.4378739683958393,0.009576722289657063
0.42135264433550307,0.015034913105943055
0.4016570208836106,0.019376726589369307
0.3788982289383664,0.020036107544309654
0.35321034397222245,0.018299514957079183
0.32475385042892246,0.019020287138206176
0.2937213628026508,0.02410710940972073
0.2603473103272223,0.02684247951443924
0.22492489300882904,0.03244632026780334
0.1878369836908628,0.051386010601741604
0.1496153337496873,0.07338229102265927
0.1110607774895921,0.1051106530591612
